Boxer,Date,Purse,lnRPurse,weight,Age,Wins,Losses,KO,W-Title,PPV,RDS
"Rubio, Marco A.",2011.12.16,5000.0,8.60546449045738,161.0,31.4495433789955,52,5,45,0,0,10
"Nichol, Esteban M.",2012.01.12,1500.0,7.3805328351106,129.0,28.25,3,3,1,0,0,6
"Alcantara, Jonathan G.",2012.01.12,3000.0,8.07368001567054,124.0,23.8333333333333,4,6,0,0,0,6
"Cisneros, Frederick",2012.01.12,1200.0,7.15738928379639,144.0,28.9166666666665,1,2,0,0,0,4
"Ruiz, Andrew",2012.01.12,2500.0,7.89135845887659,147.0,18.1666666666665,0,0,0,0,0,4
"Rodriguez, Saul",2012.01.12,2500.0,7.89135845887659,127.5,18.75,2,0,2,0,0,4
"Sanchez, Victor",2012.01.12,1200.0,7.15738928379639,122.5,19.3333333333333,1,2,0,0,0,4
"Hernandez, Antonio",2012.01.12,1200.0,7.15738928379639,124.0,26.25,1,2,0,0,0,4
"Abreu-Mena, Yusmani",2012.01.20,800.0,6.75192417568822,146.0,31.75,1,2,0,0,0,4
"Hernandez, Rodney",2012.01.20,1200.0,7.15738928379639,231.0,23.0926940639236,1,0,1,0,0,4
"Robb, Guy Lee",2012.01.20,5000.0,8.58450563943653,128.5,22.9166666666665,7,0,3,0,0,8
"Diaz, Joel Jnr.",2012.01.20,5000.0,8.58450563943653,129.0,19.8333333333333,6,0,5,0,0,8
"Molina, Javier",2012.01.20,2500.0,7.89135845887659,147.5,22.0,9,1,4,0,0,6
"Herrera, Alberto",2012.01.20,3500.0,8.2278306954978,147.0,30.3333333333333,8,4,5,0,0,6
"Ramos, Rico D.",2012.01.20,55000.0,10.9824009122349,122.0,24.5833333333333,20,0,11,1,0,12
"Rigondeaux, Guillermo",2012.01.20,51500.0,10.9166495346721,120.5,31.3333333333333,8,0,6,1,0,12
"Ruiz, Michael A.",2012.01.20,3500.0,8.2278306954978,114.5,22.75,8,1,3,0,0,8
"Acevedo, Roberto J.",2012.02.03,1000.0,6.97506772700243,163.5,24.9166666666667,2,0,1,0,0,4
"Malone, Velvet",2012.02.03,1000.0,6.97506772700243,163.0,26.5,0,3,0,0,0,4
"Barthelemy, Rances",2012.02.03,7500.0,8.9899707475447,130.0,25.6666666666667,14,0,11,0,0,8
"Williams, Hylon Jnr.",2012.02.03,7500.0,8.9899707475447,130.0,21.5833333333335,15,0,3,0,0,8
"Miranda, Edison",2012.02.03,12500.0,9.50079637131069,174.5,31.0833333333335,35,6,30,0,0,10
"Chilemba, Isaac",2012.02.03,12500.0,9.50079637131069,174.0,24.75,18,1,9,0,0,10
"Krael, Cameron A.",2012.02.03,1000.0,6.97506772700243,136.5,18.2143835616439,0,0,0,0,0,4
"Gutierrez, Jesus A.",2012.02.03,1000.0,6.97506772700243,136.0,23.2116438356134,1,0,1,0,0,4
"Gradovich, Evgeny",2012.02.03,1000.0,6.97506772700243,127.0,25.5,11,0,6,0,0,6
"Osiobe, Robert",2012.02.03,1800.0,7.56285439190455,129.0,34.0833333333335,11,3,6,0,0,6
"Yong, Roberto",2012.02.03,2500.0,7.89135845887659,157.5,28.0,4,3,3,0,0,6
"Battease, Brian D.",2012.02.04,1200.0,7.15738928379639,138.0,28.4166666666667,6,3,1,0,0,4
"Garcia, Gabriel",2012.02.04,1800.0,7.56285439190455,145.0,27.9166666666667,4,7,1,0,0,4
"Santomauro, Rocco",2012.02.04,1500.0,7.3805328351106,125.0,24.2390410958872,7,0,0,0,0,6
"Espinoza, Rocco",2012.02.04,1000.0,6.97506772700243,128.0,24.4166666666667,2,2,0,0,0,4
"Rivera, Osman",2012.02.04,1000.0,6.97506772700243,128.0,24.0833333333335,1,1,0,0,0,4
"Orozco, Antonio",2012.02.24,7500.0,8.9899707475447,141.5,24.3333333333335,12,0,8,0,0,8
"Armenta, Rodolfo",2012.02.24,3000.0,8.07368001567054,143.0,27.5,12,5,10,0,0,8
"Espinoza, Rocco",2012.02.24,1500.0,7.3805328351106,124.5,24.4166666666667,3,2,0,0,0,4
"Clark, David",2012.02.24,1500.0,7.3805328351106,125.5,27.3333333333335,3,2,3,0,0,4
"Chavez, Joaquin R.",2012.02.24,1500.0,7.3805328351106,138.0,24.25,1,0,1,0,0,4
"Latimore, DeAndre",2012.02.24,15000.0,9.68311792810464,156.0,26.5,22,3,17,0,0,10
"Nunez, Milton",2012.02.24,15000.0,9.68311792810464,157.0,32.4166666666667,23,3,21,0,0,10
"Vargas, Jessie",2012.02.24,20000.0,9.97080000055643,146.5,22.75,17,0,9,0,0,10
"Abreu-Mena, Yusmani",2012.04.13,1200.0,7.15738928379639,146.0,32.0,2,2,0,0,0,4
"Hernandez, Alexis",2012.04.13,1000.0,6.97506772700243,121.0,19.75,0,1,0,0,0,4
"Lopez, Sergio R.",2012.04.13,1000.0,6.97506772700243,122.0,21.0833333333333,0,0,0,0,0,4
"Lawson, Tyler S.",2012.04.13,1300.0,7.23743199146993,141.0,20.25,0,1,0,0,0,4
"Krael, Cameron A.",2012.04.13,1200.0,7.15738928379639,140.0,18.3810502283104,0,2,0,0,0,4
"Katsidis, Michael",2012.04.13,25000.0,10.1939435518706,138.0,31.6666666666665,28,5,23,0,0,10
"Quesada, Richard C.",2012.04.13,1000.0,6.97506772700243,141.0,23.4166666666665,0,0,0,0,0,4
"Reyes, Artemio",2012.04.13,6000.0,8.76682719623049,146.0,25.5833333333333,15,1,12,0,0,10
"Sanchez, Alan L.",2012.04.13,3000.0,8.07368001567054,147.0,21.1666666666665,9,2,3,0,0,10
"Rios, Brandon L.",2012.04.14,450000.0,13.0843153097668,137.0,26.0,29,0,22,1,1,12
"Abril, Richar",2012.04.14,100000.0,11.5802379129905,135.0,29.6666666666665,17,2,8,1,1,12
"Williams, Tramaine D.",2012.04.14,1500.0,7.3805328351106,123.0,19.4166666666665,0,0,0,0,0,4
"Alvarado, Mike A.",2012.04.14,95000.0,11.528944618603,140.0,31.75,32,0,23,0,1,10
"Herrera, Mauricio",2012.04.14,20000.0,9.97080000055643,140.0,31.9166666666665,18,1,7,0,1,10
"Crawford, Terence",2012.04.14,6500.0,8.84686990390403,142.0,24.5833333333333,15,0,11,0,0,6
"Gorges, Andre F.",2012.04.14,5000.0,8.58450563943653,141.0,27.0,11,2,6,0,0,6
"Zewski, Mikael",2012.04.14,8500.0,9.1151338904987,153.0,23.1666666666665,13,0,9,0,0,8
"Gesta, Mercito M.",2012.04.14,25000.0,10.1939435518706,137.0,24.5,24,0,12,0,1,10
"Flores, Anthony",2012.04.14,2500.0,7.89135845887659,140.0,21.75,0,0,0,0,0,4
"Flores, Eric M.",2012.04.14,2500.0,7.89135845887659,139.0,20.0833333333333,0,0,0,0,0,4
"Arnett, Daquan",2012.05.04,1500.0,7.3805328351106,152.0,19.5,2,0,1,0,0,4
"Martell, Jose I.",2012.05.04,1500.0,7.3805328351106,151.5,34.5833333333335,2,1,2,0,0,4
"Espinoza, Rocco",2012.05.04,2500.0,7.89135845887659,131.5,24.6666666666667,3,4,0,0,0,4
"Fontanez, Jeffrey",2012.05.04,2000.0,7.66821490756238,134.0,19.9166666666667,6,0,5,0,0,4
"Smith, Ishe O.",2012.05.04,12500.0,9.50079637131069,154.5,33.8333333333335,22,5,10,0,0,10
"Ponce De Leon, Daniel",2012.05.04,30000.0,10.3762651086646,127.5,31.8333333333335,42,4,35,0,0,10
"Alvarez, Saul C.",2012.05.05,1200000.0,14.0651445627785,154.0,21.8333333333335,39,0,29,1,1,12
"Mosley, Shane",2012.05.05,650000.0,13.4520400898921,154.0,41.6666666666667,46,7,39,1,1,12
"Figueroa, Omar",2012.05.05,12000.0,9.45997437679043,139.0,22.4643835616407,15,0,12,0,0,8
"Mayweather, Floyd",2012.05.05,32000000.0,17.3485589087843,151.0,35.25,42,0,26,2,1,12
"Cotto, Miguel A.",2012.05.05,8000000.0,15.9622645476644,154.0,31.5833333333335,37,2,30,2,1,12
"Orozco, Antonio",2012.05.05,7500.0,8.9899707475447,142.0,24.5833333333335,13,0,9,0,0,8
"Vargas, Jessie",2012.05.05,125000.0,11.8033814643047,146.0,23.0,18,0,9,0,1,10
"Forbes, Steve P.",2012.05.05,39925.0,10.6620704211035,146.5,35.25,35,10,11,0,1,10
"Latimore, DeAndre",2012.05.05,55000.0,10.9824009122349,154.5,26.75,23,3,17,0,1,10
"Quintana, Carlos",2012.05.05,23000.0,10.1105619429316,154.0,35.5,28,3,22,0,1,10
"Thurman, Keith",2012.05.05,12000.0,9.45997437679043,149.0,23.5,16,0,15,0,0,8
"Hoskins, Brandon W.",2012.05.05,12000.0,9.45997437679043,149.0,25.5833333333335,16,0,8,0,0,8
"Santos, Braulio",2012.05.05,2500.0,7.89135845887659,126.5,22.5833333333335,5,0,5,0,0,6
"Sandoval, Juan J.",2012.05.05,2500.0,7.89135845887659,125.0,25.3333333333335,5,8,3,0,0,6
"Acevedo, Roberto J.",2012.05.11,1000.0,6.97506772700243,163.0,25.1666666666667,3,0,2,0,0,6
"Jack, Badou",2012.05.11,7500.0,8.9899707475447,167.0,28.5833333333335,10,0,8,0,0,8
"Brand, Alexander",2012.05.11,3000.0,8.04218134861118,166.5,35.3333333333335,17,0,15,0,0,8
"Barthelemy, Rances",2012.05.11,5000.0,8.58450563943653,131.0,25.9166666666667,15,0,11,0,0,8
"Osiobe, Robert",2012.05.11,3000.0,8.07368001567054,131.0,34.3333333333335,11,4,6,0,0,8
"Gutierrez, Jesus A.",2012.05.11,1400.0,7.31153996362365,136.5,23.4616438356134,3,0,1,0,0,4
"Gonzalez, Yunieski",2012.05.11,1000.0,6.97506772700243,178.0,26.8333333333335,7,0,4,0,0,6
"Reyes, Carlos C.",2012.05.11,2000.0,7.66821490756238,182.0,35.0,5,3,3,0,0,6
"Johnson, Yudel",2012.05.11,10000.0,9.27765281999648,150.5,30.9166666666667,12,0,8,0,0,10
"Nelson, Willie",2012.05.11,12000.0,9.45997437679043,151.5,25.0833333333335,17,1,11,0,0,10
"Williams, Mitch",2012.05.11,1000.0,6.97506772700243,183.0,29.9166666666667,4,2,3,0,0,4
"Gaytan, Carlos",2012.05.11,1500.0,7.3805328351106,180.5,22.8333333333335,3,0,3,0,0,4
"Arnett, Daquan",2012.06.02,1500.0,7.3805328351106,153.0,19.5833333333333,3,0,2,0,0,4
"Abreu-Mena, Yusmani",2012.06.02,1500.0,7.3805328351106,156.0,32.1666666666667,2,2,0,0,0,4
"Lane, Lanard L.",2012.06.02,6500.0,8.84686990390403,142.5,29.8333333333333,13,1,8,0,0,8
"Elegele, Joseph",2012.06.02,6500.0,8.84686990390403,143.0,28.0,12,1,10,0,0,8
"Hudaynazarov, Ravshan",2012.06.02,1000.0,6.97506772700243,148.5,28.0,15,0,12,0,0,8
"Gonzalez, Euri",2012.06.02,5000.0,8.58450563943653,149.0,33.8333333333333,20,1,14,0,0,8
"Reyes, Johnny",2012.06.02,1000.0,6.97506772700243,130.0,20.0833333333333,1,0,1,0,0,4
"Torres, Uriel",2012.06.02,1200.0,7.15738928379639,129.0,22.5833333333333,0,0,0,0,0,4
"Lee, Mike Gene",2012.06.08,10000.0,9.27765281999648,177.0,25.0,8,0,5,0,0,6
"Crawford, Terence",2012.06.08,6500.0,8.84686990390403,136.0,24.75,16,0,12,0,0,6
"Rodela, David",2012.06.08,7500.0,8.9899707475447,135.0,29.9166666666667,16,5,7,0,0,6
"Rodriguez, Saul",2012.06.08,2500.0,7.89135845887659,128.5,19.1666666666667,4,0,4,0,0,4
"Gonzalez, Roger",2012.06.08,5000.0,8.58450563943653,132.0,34.0833333333333,27,5,18,0,0,8
"Robles, Gerardo",2012.06.08,6000.0,8.76682719623049,132.0,29.5833333333333,15,10,7,0,0,8
"Magdaleno, Jessie",2012.06.08,8000.0,9.05450926868227,122.0,20.5833333333333,9,0,6,0,0,8
"Valcarcel, Carlos",2012.06.08,8000.0,9.05450926868227,122.0,30.6666666666667,12,4,5,0,0,8
"Pavlik, Kelly",2012.06.08,30000.0,10.3762651086646,167.0,30.1666666666667,38,2,33,0,0,10
"Sigmon, Scott C.",2012.06.08,15000.0,9.68311792810464,167.0,25.25,22,3,12,0,0,10
"Puga, Rudy A.",2012.06.08,2500.0,7.89135845887659,169.0,21.4166666666667,2,0,2,0,0,4
"Turner, Thomas S.",2012.06.08,1500.0,7.3805328351106,167.0,24.75,2,1,1,0,0,4
"Jones, Michael",2012.06.09,100000.0,11.5802379129905,146.5,29.1666666666667,26,0,19,1,1,12
"Rojas, Jesus M.",2012.06.09,25000.0,10.1939435518706,123.5,25.5121004566177,18,1,13,0,1,10
"Arce, Jorge A.",2012.06.09,140000.0,11.9167101496117,123.5,32.9166666666667,60,6,46,0,1,10
"Bradley, Timothy",2012.06.09,5000000.0,15.4922609184187,146.0,28.8333333333333,28,0,12,1,1,12
"Pacquiao, Emmanuel",2012.06.09,6000000.0,15.6745824752126,147.0,33.5367579908675,54,3,38,1,1,12
"Hart, Jesse",2012.06.09,4000.0,8.36136208812233,165.0,23.0,0,0,0,0,0,4
"Sanchez, Ernie",2012.06.09,6000.0,8.76682719623049,149.0,20.4166666666667,12,3,5,0,0,8
"Hilario, Wilton",2012.06.09,6000.0,8.76682719623049,127.0,29.0833333333333,12,2,9,0,0,8
"Rigondeaux, Guillermo",2012.06.09,103000.0,11.6097967152321,122.0,31.75,17,1,7,1,1,12
"Zewski, Mikael",2012.06.09,8500.0,9.1151338904987,149.0,23.3333333333333,14,0,10,0,0,8
"Ruiz, Andrew",2012.06.09,2500.0,7.89135845887659,143.0,18.5833333333333,1,0,1,0,0,4
"Larson, Taylor S.",2012.06.09,1200.0,7.15738928379639,143.0,20.4166666666667,0,2,0,0,0,4
"Gonzales, Brandon G.",2012.06.22,7000.0,8.92097787605775,164.0,28.0833333333333,15,0,10,0,0,8
"Castro, Javier",2012.06.22,9000.0,9.17229230433865,140.0,28.5011415525082,27,4,22,0,0,12
"Dallas, Michael Jnr.",2012.06.22,10000.0,9.27765281999648,140.0,25.5312785388096,18,2,7,0,0,12
"Robb, Guy Lee",2012.06.22,2500.0,7.89135845887659,125.5,23.3333333333333,7,1,3,0,0,8
"Conley, Joshua",2012.06.22,1000.0,6.97506772700243,157.0,20.25,2,0,2,0,0,4
"Stower, Donte",2012.06.22,1000.0,6.97506772700243,153.0,27.6666666666667,0,0,0,0,0,4
"Murray, Derrick",2012.06.22,1000.0,6.97506772700243,130.5,24.0,3,0,2,0,0,4
"Molina, Javier",2012.06.22,2500.0,7.89135845887659,147.0,22.4166666666667,10,1,4,0,0,6
"Haro, Peter J.",2012.06.26,800.0,6.75192417568822,154.0,25.4166666666667,0,0,0,0,0,4
"Seymour, Elliott",2012.06.26,1000.0,6.97506772700243,154.0,27.0,1,3,1,0,0,4
"Abdusalamov, Magomed",2012.07.06,10000.0,9.27765281999648,227.0,31.3333333333333,14,0,14,0,0,10
"Fortuna, Javier",2012.07.06,7000.0,8.92097787605775,129.0,23.1666666666665,19,0,14,0,0,10
"Cruz, Cristobal",2012.07.06,10000.0,9.27765281999648,128.0,35.1666666666665,39,13,23,0,0,10
"Williams, Mitch",2012.07.06,1000.0,6.97506772700243,181.0,30.0833333333333,5,2,4,0,0,4
"Otero, Manuel",2012.07.06,1200.0,7.15738928379639,184.0,25.1666666666665,2,3,1,0,0,4
"Santomauro, Rocco",2012.07.06,1000.0,6.97506772700243,124.5,24.6557077625537,8,0,0,0,0,4
"Wisdom, Dewayne",2012.07.06,1500.0,7.3805328351106,125.0,24.4166666666665,2,3,1,0,0,4
"Garcia, Ricardo",2012.07.07,1300.0,7.23743199146993,131.75,22.1666666666665,3,2,1,0,0,4
"Guevara, Santiago",2012.07.07,1500.0,7.3805328351106,134.0,25.0,2,0,1,0,0,4
"Diaz, Francisco",2012.07.07,1500.0,7.3805328351106,228.0,31.0,2,5,2,0,0,4
"Torres, Javier",2012.07.07,1200.0,7.15738928379639,224.0,24.1666666666665,1,0,0,0,0,4
"Gonzalez, Euri",2012.07.07,8000.0,9.05450926868227,151.5,33.9166666666665,20,2,14,0,0,10
"Soto Karass, Jesus",2012.07.07,15000.0,9.68311792810464,151.75,29.75,25,7,16,0,0,10
"Gonzalez, Joet",2012.07.07,1500.0,7.3805328351106,120.25,18.75,0,0,0,0,0,4
"Torres, Uriel",2012.07.07,1200.0,7.15738928379639,126.25,22.6666666666665,0,1,0,0,0,4
"Vargas, Francisco J.",2012.07.07,5000.0,8.58450563943653,131.0,27.5981735159785,11,0,9,0,0,8
"Albonica, Javier",2012.07.12,1200.0,7.15738928379639,146.5,26.3333333333333,2,1,1,0,0,4
"Irie, Tatsuro",2012.07.12,1200.0,7.15738928379639,148.5,27.5899543378962,0,3,0,0,0,4
"Loeza, Alonso",2012.07.12,1200.0,7.15738928379639,146.5,21.0833333333333,1,5,1,0,0,4
"Wohlman, Zachary",2012.07.12,1600.0,7.44507135624817,148.0,24.1666666666665,3,0,1,0,0,4
"Martell, Jose I.",2012.07.12,1500.0,7.3805328351106,148.0,34.75,2,2,2,0,0,4
"Parker, Paul L.",2012.07.12,800.0,6.75192417568822,193.0,27.4166666666665,0,0,0,0,0,4
"Ward, Larry",2012.07.12,800.0,6.75192417568822,193.0,35.75,1,2,0,0,0,4
"Abreu-Mena, Yusmani",2012.07.14,1250.0,7.19821127831664,154.0,32.25,2,3,0,0,0,4
"Carthron, Andrae M.",2012.07.14,3500.0,8.2278306954978,235.0,31.1666666666665,6,7,1,0,0,8
"Hernandez, Alexis",2012.07.14,1300.0,7.23743199146993,126.0,20.0,1,1,0,0,0,4
"Osiobe, Robert",2012.07.14,3500.0,8.2278306954978,139.0,34.5,11,5,6,0,0,6
"Krael, Cameron A.",2012.07.14,2500.0,7.89135845887659,137.0,18.6310502283104,2,3,0,0,0,6
"Soto, Jorge Martin",2012.07.14,1000.0,6.97506772700243,136.0,25.6666666666665,0,0,0,0,0,4
"McQueen, Chico",2012.07.14,1000.0,6.97506772700243,136.0,26.1666666666665,0,0,0,0,0,4
"Reyes, Edwin",2012.07.14,1200.0,7.15738928379639,105.0,24.9166666666665,0,0,0,0,0,4
"Ramirez, Yosigey",2012.07.14,1000.0,6.97506772700243,107.0,22.3333333333333,0,0,0,0,0,4
"White, Cornelius",2012.07.14,15000.0,9.68311792810464,174.0,30.6666666666665,19,1,16,0,0,12
"Arnett, Daquan",2012.07.14,2500.0,7.89135845887659,153.0,19.6666666666665,4,0,2,0,0,6
"Cordova, Eddie",2012.07.14,2500.0,7.89135845887659,151.0,33.4166666666665,3,2,1,0,0,6
"Love, J'Leon",2012.07.14,5000.0,8.58450563943653,162.0,24.8333333333333,11,0,7,0,0,8
"Cotto, Abner J.",2012.07.14,5000.0,8.58450563943653,135.0,24.9166666666665,13,0,5,0,0,8
"Montiel, Juan Manuel",2012.07.14,5000.0,8.58450563943653,135.0,29.0833333333333,5,6,2,0,0,8
"Garcia, Danny",2012.07.14,520000.0,13.2288965385779,139.0,24.3333333333333,23,0,14,2,0,12
"Khan, Amir",2012.07.14,950000.0,13.831529711597,139.0,25.6447488584443,26,2,18,2,0,12
"Lo Greco, Philip",2012.07.14,7500.0,8.9899707475447,149.0,28.0,23,0,12,0,0,8
"Hoskins, Brandon W.",2012.07.14,10000.0,9.27765281999648,149.0,25.75,16,1,8,0,0,8
"Guerrero, Fernando",2012.07.14,12500.0,9.50079637131069,162.0,25.75,23,1,18,0,0,10
"Kavanagh, Jamie G.",2012.07.14,8000.0,9.05450926868227,135.0,22.1666666666665,10,0,5,0,0,8
"Velarde, Paul A.",2012.07.14,6000.0,8.76682719623049,136.0,29.1666666666665,3,1,0,0,0,8
"Cupul, Pablo",2012.07.14,1500.0,7.3805328351106,134.0,24.9166666666665,6,8,4,0,0,4
"Garcia, Horacio",2012.07.14,4000.0,8.36136208812233,125.0,22.0833333333333,18,0,13,0,0,10
"Landeros, Adolfo",2012.07.14,6000.0,8.76682719623049,126.0,32.6502283105021,22,25,10,0,0,10
"Martinez, Aaron",2012.07.20,6000.0,8.76682719623049,146.5,30.6666666666665,17,1,4,0,0,8
"Ritani-Coe, Brice",2012.07.20,1000.0,6.97506772700243,289.0,26.3333333333333,3,0,3,0,0,4
"Boden, Kourtney O.",2012.07.20,2000.0,7.66821490756238,215.0,33.25,3,5,2,0,0,4
"Burgos, Juan C.",2012.07.20,15000.0,9.68311792810464,129.5,24.5954337899509,29,1,19,0,0,10
"Espinoza, Rocco",2012.07.20,1500.0,7.3805328351106,131.5,24.8333333333333,3,5,0,0,0,4
"Lee, Benjamin L.",2012.07.20,1000.0,6.97506772700243,214.5,28.5,1,2,0,0,0,4
"Sarran, Geovanni A.",2012.07.20,800.0,6.75192417568822,225.0,23.5954337899509,2,4,0,0,0,4
"McQueen, Chico",2012.07.20,1000.0,6.97506772700243,139.0,26.1666666666665,1,0,0,0,0,4
"Soto, Jorge Martin",2012.07.20,1000.0,6.97506772700243,140.0,25.6666666666665,0,1,0,0,0,4
"Rather, Brett B.",2012.07.20,2000.0,7.66821490756238,233.0,21.6283105022831,0,0,0,0,0,4
"Hovhannisyan, Azat",2012.07.20,17500.0,9.8372686079319,132.0,23.9166666666665,14,0,8,0,0,10
"Acosta, Miguel",2012.07.20,2500.0,7.89135845887659,134.0,34.25,29,5,23,0,0,10
"Prado, Eric",2012.07.20,1000.0,6.97506772700243,161.0,21.5844748858447,0,2,0,0,0,4
"Maicelo, Jonathan",2012.07.20,3000.0,8.07368001567054,135.0,28.9166666666665,16,0,9,0,0,8
"Attah, Daniel O.",2012.07.20,5000.0,8.58450563943653,135.0,33.6118721461187,26,11,9,0,0,8
"Serrano, Rufino",2012.07.20,2000.0,7.66821490756238,125.5,21.9166666666665,12,4,0,0,0,6
"Morales, Roman",2012.07.20,5000.0,8.58450563943653,122.0,20.9166666666665,10,0,6,0,0,8
"Santiago, Alexis I.",2012.07.20,5000.0,8.58450563943653,122.0,21.8333333333333,11,2,5,0,0,8
"Santana, Francisco",2012.07.20,2500.0,7.89135845887659,148.0,26.1666666666665,12,3,6,0,0,6
"Smith, Larry D.",2012.07.20,3000.0,8.07368001567054,150.0,33.5,10,11,7,0,0,6
"Gesta, Mercito M.",2012.08.03,20000.0,9.97080000055643,137.0,24.8333333333335,25,0,13,0,0,10
"Gutierrez, Jesus A.",2012.08.03,1500.0,7.3805328351106,136.5,23.7116438356134,4,0,2,0,0,6
"McCumby, Trevor",2012.08.03,2000.0,7.66821490756238,173.0,19.9166666666667,5,0,5,0,0,4
"Glenn, Michael A.",2012.08.03,1500.0,7.3805328351106,174.5,29.1666666666667,2,3,1,0,0,4
"Magdaleno, Jessie",2012.08.03,6000.0,8.76682719623049,121.5,20.75,10,0,7,0,0,8
"Saenz, Gabino",2012.08.03,3500.0,8.2278306954978,123.0,23.1666666666667,6,0,5,0,0,6
"Wisdom, Dewayne",2012.08.03,2000.0,7.66821490756238,123.0,24.5,2,4,1,0,0,6
"Carcamo, Fernando",2012.08.03,3500.0,8.2278306954978,135.0,21.8333333333335,10,3,7,0,0,6
"Rodriguez, Robert S.",2012.08.03,2500.0,7.89135845887659,135.0,22.0833333333335,6,1,2,0,0,6
"Roman, Jessie",2012.08.03,1400.0,7.31153996362365,148.0,21.25,11,0,7,0,0,6
"Hughes, Lawrence L.",2012.08.03,2000.0,7.66821490756238,148.0,28.4166666666667,4,3,3,0,0,6
"Martell, Jose I.",2012.08.03,1500.0,7.3805328351106,147.0,34.8333333333335,2,3,2,0,0,4
"Ocegueda, Jaime",2012.08.03,1000.0,6.97506772700243,146.0,25.4166666666667,6,0,4,0,0,4
"Prescott, Ralph",2012.08.03,1000.0,6.97506772700243,148.75,35.3333333333335,2,5,0,0,0,4
"Benavidez, Jose L.",2012.08.04,4000.0,8.36136208812233,143.5,20.25,15,0,12,0,0,6
"Magdaleno, Diego",2012.08.04,25000.0,10.1939435518706,130.0,25.8333333333335,22,0,8,0,0,10
"Santillan, Giovanni",2012.08.04,1500.0,7.3805328351106,140.5,20.7390410958906,3,0,2,0,0,4
"Chavez, Joaquin R.",2012.08.04,2000.0,7.66821490756238,140.0,24.75,1,1,1,0,0,4
"Lee, Mike Gene",2012.08.04,10000.0,9.27765281999648,177.5,25.1666666666667,9,0,5,0,0,6
"Hogue, Jazzma",2012.08.04,1200.0,7.15738928379639,121.5,26.25,2,1,0,0,0,4
"Williams, Tramaine D.",2012.08.04,2000.0,7.66821490756238,123.0,19.75,2,0,2,0,0,4
"Morales, Jose",2012.08.04,2000.0,7.66821490756238,127.5,31.0833333333335,6,3,1,0,0,4
"Rodriguez, Saul",2012.08.04,2500.0,7.89135845887659,127.0,19.3333333333335,5,0,4,0,0,4
"Turner, Thomas S.",2012.08.04,1500.0,7.3805328351106,168.0,24.9166666666667,2,2,1,0,0,4
"Maicelo, Jonathan",2012.08.10,3000.0,8.07368001567054,136.5,29.0,17,0,10,0,0,6
"Avalos, Christopher",2012.08.10,15000.0,9.68311792810464,120.0,22.75,19,2,15,0,0,10
"Ishe, Cleven",2012.08.10,2500.0,7.89135845887659,152.75,24.5833333333335,3,7,1,0,0,6
"Perez, Darleys",2012.08.10,3000.0,8.07368001567054,135.0,28.9166666666667,25,0,19,0,0,10
"Mamadjonov, Bahodir",2012.08.10,2000.0,7.66821490756238,133.5,25.1666666666667,11,0,7,0,0,10
"Luna, Alejandro",2012.08.10,3500.0,8.2278306954978,134.0,20.8333333333335,9,0,7,0,0,6
"Barefield, Omar",2012.08.16,1000.0,6.97506772700243,156.0,38.5,0,1,0,0,0,4
"Rein, Brady",2012.08.16,1200.0,7.15738928379639,166.0,26.3333333333335,1,0,1,0,0,4
"Ochoa, Alejandro",2012.08.16,1500.0,7.3805328351106,133.75,23.5833333333335,1,1,0,0,0,4
"Bello, Luis",2012.08.16,1000.0,6.97506772700243,134.0,18.8333333333335,2,0,1,0,0,4
"Namauu, Henry CJ",2012.08.16,5000.0,8.58450563943653,218.0,27.9166666666667,10,4,5,0,0,8
"Flores, Alexander",2012.08.16,3000.0,8.07368001567054,225.0,22.0,9,0,7,0,0,8
"Malfavon, Ricardo A.",2012.08.16,2500.0,7.89135845887659,143.5,30.1666666666667,2,9,2,0,0,6
"Tadeo, Isaac",2012.08.16,1200.0,7.15738928379639,150.0,22.1666666666667,2,0,2,0,0,4
"Haro, Peter J.",2012.08.18,1000.0,6.97506772700243,145.0,25.5833333333335,1,0,0,0,0,4
"Santana, Oscar",2012.08.18,795.0,6.74565456267463,130.0,21.5,2,1,1,0,0,4
"Rivera, Osman",2012.08.18,1000.0,6.97506772700243,131.0,24.5833333333335,1,3,0,0,0,4
"Rose, Louis",2012.08.18,1000.0,6.97506772700243,158.0,23.5,3,0,0,0,0,4
"Seymour, Elliott",2012.08.18,1000.0,6.97506772700243,157.5,27.1666666666667,1,4,1,0,0,4
"Johnson, David",2012.08.24,1100.0,7.07037790680676,213.25,33.5,5,22,0,0,0,4
"Alexander, Scott",2012.08.24,1000.0,6.97506772700243,229.5,23.3333333333335,6,0,4,0,0,4
"Morales, Roman",2012.08.24,3000.0,8.07368001567054,121.5,21.0,11,0,6,0,0,8
"Alcantara, Jonathan G.",2012.08.24,3300.0,8.16899019547487,120.75,24.4166666666667,6,7,1,0,0,8
"Williams, Derek",2012.08.24,800.0,6.75192417568822,247.5,32.0,0,1,0,0,0,4
"Lopez, Julian",2012.08.24,1000.0,6.97506772700243,127.5,22.25,0,0,0,0,0,4
"Yanez, David H.",2012.08.24,800.0,6.75192417568822,129.5,22.5,1,3,0,0,0,4
"Aguiar, Yair",2012.08.24,2500.0,7.89135845887659,147.0,35.0,10,16,4,0,0,8
"Duenas, Ricky",2012.08.24,4000.0,8.36136208812233,146.0,29.5833333333335,11,1,5,0,0,8
